t0;t1;variable;flag;comment
26-04-2023 08:00;11-06-2023 03:20;p_wtr_1_cor;nan;Manually Flagged by RABNI
17-06-2023 15:10;19-06-2023 23:30;p_wtr_1_cor;nan;Manually Flagged by RABNI
26-04-2023 08:00;11-06-2023 03:20;p_wtr_2_cor;nan;Manually Flagged by RABNI
17-06-2023 15:10;19-06-2023 23:30;p_wtr_2_cor;nan;Manually Flagged by RABNI
26-04-2023 08:00;11-06-2023 03:20;p_wtr_3_cor;nan;Manually Flagged by RABNI
17-06-2023 15:10;19-06-2023 23:30;p_wtr_3_cor;nan;Manually Flagged by RABNI
22-09-2023 03:50;03-10-2023 23:50;p_wtr_1_cor;nan;Manually Flagged by RABNI
22-09-2023 03:50;03-10-2023 23:50;p_wtr_2_cor;nan;Manually Flagged by RABNI
22-09-2023 03:50;03-10-2023 23:50;p_wtr_3_cor;nan;Manually Flagged by RABNI
